date,code,open,high,low,close,peTTM,pbMRQ,psTTM
2020-06-24,sh.600703,24.4300,24.6500,24.0500,24.2000,92.333858,4.458080,13.314885
2020-06-24,sh.600704,4.2600,4.2700,4.2200,4.2200,8.765260,0.898261,0.060024
2020-06-24,sh.600705,3.9800,4.0400,3.9500,3.9700,11.696354,1.160624,1.955291
2020-06-24,sh.600706,7.3300,7.3400,7.2200,7.2300,-29.096183,1.574955,1.351438
2020-06-24,sh.600707,4.5300,4.5900,4.4200,4.4600,-87.371921,0.804074,2.490375
2020-06-24,sh.600708,2.9100,2.9100,2.8900,2.9000,3076.780582,0.579742,0.586153
2020-06-24,sh.600710,4.3900,4.4100,4.3600,4.3700,13.096394,1.169766,0.069928
2020-06-24,sh.600711,4.4800,4.4900,4.3700,4.3900,39.660587,1.122693,0.257746
2020-06-24,sh.600712,5.7000,5.7500,5.5100,5.5300,-87.376412,3.054601,1.963026
2020-06-24,sh.600713,4.3200,4.3500,4.3000,4.3400,12.890709,1.095877,0.121492
2020-06-24,sh.600714,5.6100,5.6200,5.4100,5.4200,-137.324781,2.548337,11.216845
2020-06-24,sh.600715,2.8100,2.8300,2.7300,2.7300,-31.699912,0.812633,2.729293
2020-06-24,sh.600716,3.8500,3.9200,3.8400,3.8600,157.959854,0.587061,4.478122
2020-06-24,sh.600717,4.4300,4.4600,4.4200,4.4400,18.211486,0.652672,0.838316
2020-06-24,sh.600718,11.5000,11.5100,11.2300,11.3600,-460.099780,1.703160,1.778166
2020-06-24,sh.600719,4.2600,4.2700,4.1600,4.1600,-200.774096,2.129478,2.340214
2020-06-24,sh.600720,16.0900,16.2600,16.0000,16.0400,10.091967,1.826597,1.801638
2020-06-24,sh.600721,5.1500,5.1900,5.1400,5.1400,191.664571,2.394265,9.111432
2020-06-24,sh.600722,3.3900,3.4000,3.3200,3.3500,74.825056,2.255960,3.397547
2020-06-24,sh.600723,8.1000,8.1300,7.7000,7.7200,24.205235,1.211997,0.643500
2020-06-24,sh.600724,3.7400,3.7800,3.6900,3.7000,14.936059,1.810035,1.908238
2020-06-24,sh.600725,2.1500,2.1500,2.1100,2.1300,181.594553,8.524666,1.901981
2020-06-24,sh.600726,1.8800,1.8900,1.8500,1.8800,34.470618,1.992311,0.330599
2020-06-24,sh.600727,6.5700,6.6700,6.5500,6.6600,15.391558,1.611870,1.751642
2020-06-24,sh.600728,9.2300,9.2700,9.1400,9.1600,36.395114,3.368874,3.485726
2020-06-24,sh.600729,30.0700,30.3000,30.0000,30.1600,17.874220,1.896434,0.381906
2020-06-24,sh.600730,5.1000,5.1000,4.9900,5.0100,-37.317505,1.549225,32.031802
2020-06-24,sh.600731,7.0400,7.1400,7.0100,7.0600,18.936702,2.031577,1.192009
2020-06-24,sh.600732,10.1100,10.7500,10.0700,10.6700,43.681712,9.055479,2.966175
2020-06-24,sh.600733,6.6100,6.7000,6.4800,6.5500,-63.575421,1.349138,1.054521
2020-06-24,sh.600734,2.4400,2.4400,2.4400,2.4400,-0.493848,-2.743716,1.152239
2020-06-24,sh.600735,5.3200,5.3600,5.2800,5.2900,28.703089,2.046288,1.411648
2020-06-24,sh.600736,5.1600,5.2100,5.1300,5.1700,27.102136,0.893811,0.863234
2020-06-24,sh.600737,7.6700,7.6700,7.6000,7.6300,31.905115,2.066144,0.886289
2020-06-24,sh.600738,6.0200,6.0200,5.4200,5.4200,21.350421,2.570516,2.847506
2020-06-24,sh.600739,19.0000,19.3200,18.6600,18.7000,39.271255,1.316727,1.654888
2020-06-24,sh.600740,4.5600,4.6100,4.4200,4.4700,86.564457,0.854584,1.350084
2020-06-24,sh.600741,21.2200,21.4400,20.7900,20.8200,13.811588,1.337882,0.495669
2020-06-24,sh.600742,8.4200,8.7500,8.4200,8.5300,14.741571,1.031122,0.320271
2020-06-24,sh.600743,2.1000,2.1100,2.0900,2.0900,6.663038,0.589994,0.684376
2020-06-24,sh.600744,2.2700,2.2800,2.2400,2.2600,-127.063650,1.323310,0.464661
2020-06-24,sh.600745,126.3300,128.7100,124.8500,126.1900,76.834418,6.545666,2.953112
2020-06-24,sh.600746,6.6300,6.7500,6.6200,6.6400,167.041575,2.798713,5.160570
2020-06-24,sh.600748,5.0800,5.1400,5.0800,5.1000,11.915196,0.877348,1.079027
2020-06-24,sh.600749,8.5600,8.5900,8.4600,8.5600,198.747371,1.884946,10.913575
2020-06-24,sh.600750,12.4000,12.6700,12.1100,12.2400,16.477981,2.088594,3.163702
2020-06-24,sh.600751,3.1900,3.1900,3.1200,3.1400,14.713217,0.678391,0.027929
2020-06-24,sh.600753,10.0500,10.0500,9.8200,9.8400,85.046391,8.600416,0.680367
2020-06-24,sh.600754,29.0800,29.1800,28.1900,28.3600,28.074529,2.037815,1.947340
2020-06-24,sh.600755,6.5200,6.5700,6.5000,6.5400,5.920993,0.872185,0.055279
2020-06-24,sh.600756,18.4300,18.5300,18.2300,18.3000,415.506102,2.443819,4.090504
2020-06-24,sh.600757,5.2400,5.2400,5.1600,5.1800,9.379023,0.848442,0.903929
2020-06-24,sh.600758,3.3500,3.3800,3.3200,3.3400,-28.605462,0.812661,0.662209
2020-06-24,sh.600759,1.8600,1.8700,1.8400,1.8500,287.416266,0.781654,1.567790
2020-06-24,sh.600760,32.7000,32.7000,32.1500,32.2500,35.353510,4.753918,1.852696
2020-06-24,sh.600761,9.4300,9.6200,9.3800,9.6000,12.171755,1.408455,0.745746
